timestamp_fix_sec,timestamp_fix_nanosec,timestamp_perf_sec,timestamp_perf_nanosec,lat_fix,lon_fix,alt_fix,lat_perf,lon_perf,alt_perf,lat_error,lon_error,alt_error
1765530953,809089333,1765530953,804932012,-33.72278291755253,150.67402039136513,0.024098532394304345,-33.722762322293434,150.67399606014777,-0.02099489700049162,-2.0595259094591256e-05,2.4331217360895607e-05,0.045093429394795964
1765530953,809089333,1765530953,905118851,-33.72278291755253,150.67402039136513,0.024098532394304345,-33.72276231901461,150.673996073335,-0.1024023350328207,-2.0598537915361703e-05,2.431803014246725e-05,0.12650086742712505
1765530953,906924617,1765530953,905118851,-33.72278288234715,150.67402037270122,0.024098532394304345,-33.72276231901461,150.673996073335,-0.1024023350328207,-2.0563332533640732e-05,2.4299366231161912e-05,0.12650086742712505
1765530954,17297089,1765530954,14926806,-33.722782782091244,150.67402034517596,0.024098532394304345,-33.722762292360066,150.67399609814444,-0.11925359535962343,-2.0489731177519843e-05,2.4247031518598305e-05,0.14335212775392778
1765530954,119272768,1765530954,121527766,-33.72278281211781,150.67402040864002,0.024098532394304345,-33.72276224289867,150.67399613427392,-0.06509698368608952,-2.0569219145727402e-05,2.4274366097642996e-05,0.08919551608039386
1765530954,211373649,1765530954,231376422,-33.722782719141925,150.67402016590285,0.024098532394304345,-33.72276217070047,150.6739961822416,-0.02609069924801588,-2.0548441455048305e-05,2.3983661236570697e-05,0.050189231642320226
1765530954,318270413,1765530954,337718516,-33.722782688553764,150.674019853332,0.024098532394304345,-33.722762074997625,150.67399624326498,-0.04426633846014738,-2.0613556138471267e-05,2.3610067017898473e-05,0.06836487085445173
1765530954,410041069,1765530954,337718516,-33.72278251871839,150.67401965336717,0.024098532394304345,-33.722762074997625,150.67399624326498,-0.04426633846014738,-2.0443720764262707e-05,2.3410102187426673e-05,0.06836487085445173
1765530954,410041069,1765530954,454216815,-33.72278251871839,150.67401965336717,0.024098532394304345,-33.72276195481258,150.67399631867687,-0.0868793735280633,-2.056390580662537e-05,2.3334690297360794e-05,0.11097790592236764
1765530954,519789343,1765530954,454216815,-33.72278251763928,150.67401964846403,0.024098532394304345,-33.72276195481258,150.67399631867687,-0.0868793735280633,-2.0562826698267145e-05,2.3329787154580117e-05,0.11097790592236764
1765530954,519789343,1765530954,556445330,-33.72278251763928,150.67401964846403,0.024098532394304345,-33.72276181177549,150.67399640758012,-0.09544678311794996,-2.0705863789771684e-05,2.3240883905373266e-05,0.11954531551225431
1765530954,621313171,1765530954,556445330,-33.722782284360775,150.67401897904287,0.024098532394304345,-33.72276181177549,150.67399640758012,-0.09544678311794996,-2.0472585283926037e-05,2.2571462750420324e-05,0.11954531551225431
1765530954,621313171,1765530954,663421340,-33.722782284360775,150.67401897904287,0.024098532394304345,-33.72276164811196,150.67399650867208,-0.06231522373855114,-2.063624881287751e-05,2.2470370794280825e-05,0.08641375613285548
1765530954,716395481,1765530954,663421340,-33.722781841918845,150.6740182958874,0.024098532394304345,-33.72276164811196,150.67399650867208,-0.06231522373855114,-2.019380688267347e-05,2.17872153314147e-05,0.08641375613285548
1765530954,716395481,1765530954,774315835,-33.722781841918845,150.6740182958874,0.024098532394304345,-33.72276146429274,150.67399662189402,-0.03412559162825346,-2.0377626107404012e-05,2.1673993387594237e-05,0.058224124022557805
1765530954,821318512,1765530954,774315835,-33.72278101757548,150.6740183579509,0.024098532394304345,-33.72276146429274,150.67399662189402,-0.03412559162825346,-1.9553282740503164e-05,2.173605687971758e-05,0.058224124022557805
1765530954,821318512,1765530954,884136403,-33.72278101757548,150.6740183579509,0.024098532394304345,-33.72276125968108,150.67399674809835,-0.04024663381278515,-1.975789439967457e-05,2.1609852552728626e-05,0.0643451662070895
1765530954,907136917,1765530954,884136403,-33.7227809361792,150.67401760155474,0.024098532394304345,-33.72276125968108,150.67399674809835,-0.04024663381278515,-1.9676498119736152e-05,2.0853456391023428e-05,0.0643451662070895
1765530954,907136917,1765530954,993484180,-33.7227809361792,150.67401760155474,0.024098532394304345,-33.722761033127796,150.67399688849036,-0.06408875621855259,-1.9903051402536676e-05,2.0713064373012458e-05,0.08818728861285693
1765530955,17401480,1765530954,993484180,-33.72278001728069,150.6740168247039,0.024098532394304345,-33.722761033127796,150.67399688849036,-0.06408875621855259,-1.8984152895029638e-05,1.993621353335584e-05,0.08818728861285693
1765530955,17401480,1765530955,97475616,-33.72278001728069,150.6740168247039,0.024098532394304345,-33.72276078433835,150.67399704331694,-0.07118985429406166,-1.9232942342739534e-05,1.978138695335474e-05,0.095288386688366
1765530955,122770388,1765530955,97475616,-33.72277963637611,150.67401617077743,0.024098532394304345,-33.72276078433835,150.67399704331694,-0.07118985429406166,-1.885203776197386e-05,1.912746049015368e-05,0.095288386688366
1765530955,122770388,1765530955,205880452,-33.72277963637611,150.67401617077743,0.024098532394304345,-33.72276051437147,150.67399721161226,-0.05389630049467087,-1.9122004637495138e-05,1.8959165174692316e-05,0.07799483288897521
1765530955,207895946,1765530955,205880452,-33.72277928530416,150.674015592397,0.024098532394304345,-33.72276051437147,150.67399721161226,-0.05389630049467087,-1.8770932690870268e-05,1.8380784752025647e-05,0.07799483288897521
1765530955,321851328,1765530955,325608361,-33.72277770827438,150.67401566119324,0.024098532394304345,-33.7227602234181,150.67399739297377,-0.03583334293216467,-1.7484856279281757e-05,1.8268219463379864e-05,0.059931875326469014
